Cycle,GRF
4,485.923
4,493.160
4,500.772
4,508.723
4,516.965
4,525.437
4,534.071
4,542.793
4,551.528
4,560.207
4,568.764
4,577.144
4,585.297
4,593.180
4,600.751
4,607.969
4,614.791
4,621.173
4,627.065
4,632.414
4,637.163
4,641.252
4,644.620
4,647.204
4,648.946
4,649.793
4,649.705
4,648.652
4,646.622
4,643.619
4,639.665
4,634.800
4,629.073
4,622.544
4,615.271
4,607.304
4,598.676
4,589.394
4,579.429
4,568.709
4,557.115
4,544.480
4,530.597
4,515.223
4,498.104
4,478.993
4,457.686
4,434.051
4,408.064
4,379.836
4,349.632
4,317.880
4,285.154
4,252.148
4,219.630
4,188.385
4,159.148
4,132.540
4,109.017
4,88.830
4,72.012
4,58.391
4,47.621
4,39.243
4,32.738
0,27.599
0,23.376
0,19.720
0,16.393
0,13.269
0,10.315
0,7.567
0,5.096
0,2.981
0,1.287
0,0.044
0,-0.754
0,-1.152
0,-1.223
0,-1.058
0,-0.753
0,-0.397
0,-0.060
0,0.208
0,0.381
0,0.453
0,0.437
0,0.355
0,0.236
0,0.107
0,-0.010
0,-0.100
0,-0.154
0,-0.173
0,-0.160
0,-0.126
0,-0.080
0,-0.031
0,0.011
0,0.042
0,0.060
0,0.065
0,0.059
0,0.045
0,0.027
0,0.009
0,-0.006
0,-0.018
0,-0.024
0,-0.025
0,-0.022
0,-0.016
0,-0.009
0,-0.002
0,0.004
0,0.009
0,0.011
0,0.012
0,0.010
0,0.008
0,0.004
0,-0.000
0,-0.004
0,-0.008
0,-0.010
0,-0.011
0,-0.010
0,-0.008
0,-0.003
0,0.003
0,0.009
0,0.016
0,0.021
0,0.023
0,0.021
0,0.015
0,0.004
0,-0.010
0,-0.027
0,-0.042
0,-0.054
0,-0.059
0,-0.053
0,-0.035
0,-0.005
0,0.034
0,0.078
0,0.119
0,0.148
0,0.157
0,0.136
0,0.083
0,-0.002
0,-0.111
0,-0.229
0,-0.336
0,-0.407
0,-0.418
0,-0.350
0,-0.193
0,0.048
0,0.348
0,0.666
0,0.943
0,1.114
0,1.113
0,0.892
0,0.433
0,-0.244
0,-1.067
0,-1.913
0,-2.622
0,-3.014
0,-2.920
0,-2.220
0,-0.878
0,1.023
0,3.264
0,5.492
0,7.253
0,8.053
0,7.439
0,5.110
0,1.015
0,-4.552
0,-10.900
0,-16.949
0,-21.296
0,-22.362
0,-18.596
0,-8.714
0,8.062
5,31.817
5,61.841
5,96.656
5,134.183
5,172.020
5,207.804
5,239.565
5,266.017
5,286.723
5,302.102
5,313.290
5,321.894
5,329.691
5,338.322
5,349.049
5,362.591
5,379.074
5,398.087
5,418.818
5,440.242
5,461.320
5,481.166
5,499.160
5,514.998
5,528.668
5,540.390
5,550.524
5,559.471
5,567.597
5,575.179
5,582.378
5,589.247
5,595.750
5,601.797
5,607.281
5,612.102
5,616.194
5,619.524
5,622.097
5,623.946
5,625.114
5,625.647
5,625.585
5,624.951
5,623.757
5,622.006
5,619.700
5,616.849
5,613.475
5,609.619
5,605.338
5,600.703
5,595.795
5,590.694
5,585.475
5,580.199
5,574.906
5,569.614
5,564.319
5,559.000
5,553.623
5,548.149
5,542.545
5,536.787
5,530.868
5,524.796
5,518.597
5,512.309
5,505.980
5,499.661
5,493.403
5,487.257
5,481.265
5,475.462
5,469.876
5,464.530
5,459.440
5,454.622
5,450.093
5,445.874
5,441.988
5,438.467
5,435.346
5,432.665
5,430.463
5,428.781
5,427.650
5,427.095
5,427.129
5,427.750
5,428.945
5,430.689
5,432.948
5,435.682
5,438.850
5,442.414
5,446.335
5,450.578
5,455.113
5,459.906
5,464.926
5,470.135
5,475.495
5,480.957
5,486.472
5,491.987
5,497.451
5,502.817
5,508.050
5,513.124
5,518.029
5,522.767
5,527.357
5,531.825
5,536.208
5,540.547
5,544.888
5,549.273
5,553.745
5,558.336
5,563.075
5,567.975
5,573.036
5,578.243
5,583.563
5,588.948
5,594.339
5,599.664
5,604.849
5,609.818
5,614.499
5,618.826
5,622.739
5,626.183
5,629.111
5,631.477
5,633.233
5,634.337
5,634.743
5,634.408
5,633.292
5,631.367
5,628.618
5,625.048
5,620.686
5,615.584
5,609.815
5,603.464
5,596.619
5,589.348
5,581.689
5,573.625
5,565.075
5,555.880
5,545.804
5,534.543
5,521.743
5,507.027
5,490.035
5,470.465
5,448.122
5,422.953
5,395.086
5,364.841
5,332.728
5,299.421
5,265.716
5,232.465
5,200.507
5,170.594
5,143.330
5,119.127
5,98.174
5,80.449
5,65.741
5,53.699
5,43.892
5,35.865
0,29.198
0,23.541
0,18.637
0,14.325
0,10.529
0,7.233
0,4.457
0,2.227
0,0.555
0,-0.574
0,-1.211
0,-1.435
0,-1.346
0,-1.053
0,-0.660
0,-0.258
0,0.089
0,0.338
0,0.474
0,0.503
0,0.445
0,0.331
0,0.190
0,0.051
0,-0.065
0,-0.145
0,-0.185
0,-0.187
0,-0.159
0,-0.113
0,-0.060
0,-0.009
0,0.032
0,0.059
0,0.070
0,0.069
0,0.057
0,0.039
0,0.019
0,-0.000
0,-0.015
0,-0.023
0,-0.027
0,-0.025
0,-0.019
0,-0.012
0,-0.004
0,0.003
0,0.008
0,0.011
0,0.010
0,0.008
0,0.004
0,-0.001
0,-0.005
0,-0.008
0,-0.009
0,-0.008
0,-0.005
0,0.001
0,0.007
0,0.014
0,0.019
0,0.021
0,0.019
0,0.013
0,0.002
0,-0.012
0,-0.028
0,-0.042
0,-0.053
0,-0.055
0,-0.048
0,-0.028
0,0.002
0,0.041
0,0.083
0,0.120
0,0.145
0,0.147
0,0.122
0,0.064
0,-0.022
0,-0.129
0,-0.241
0,-0.338
0,-0.395
0,-0.392
0,-0.309
0,-0.142
0,0.102
0,0.395
0,0.694
0,0.943
0,1.076
0,1.035
0,0.778
0,0.293
0,-0.388
0,-1.187
0,-1.979
0,-2.605
0,-2.895
0,-2.692
0,-1.896
0,-0.496
0,1.403
0,3.566
0,5.631
0,7.154
0,7.663
0,6.749
0,4.165
0,-0.072
0,-5.605
0,-11.694
0,-17.232
0,-20.827
0,-20.948
0,-16.135
0,-5.220
0,12.448
6,36.836
6,67.160
6,101.930
6,139.127
6,176.484
6,211.820
6,243.356
6,269.962
6,291.267
6,307.643
6,320.055
6,329.843
6,338.462
6,347.251
6,357.249
6,369.098
6,383.020
6,398.871
6,416.236
6,434.554
6,453.234
6,471.750
6,489.692
6,506.790
6,522.895
6,537.949
6,551.943
6,564.885
6,576.771
6,587.585
6,597.297
6,605.879
6,613.320
6,619.642
6,624.902
6,629.193
6,632.635
6,635.353
6,637.466
6,639.063
6,640.197
6,640.876
6,641.066
6,640.706
6,639.713
6,638.007
6,635.525
6,632.233
6,628.134
6,623.272
6,617.725
6,611.594
6,604.997
6,598.051
6,590.868
6,583.539
6,576.137
6,568.713
6,561.295
6,553.892
6,546.497
6,539.091
6,531.649
6,524.145
6,516.558
6,508.878
6,501.110
6,493.278
6,485.422
6,477.601
6,469.884
6,462.345
6,455.065
6,448.120
6,441.583
6,435.517
6,429.975
6,425.000
6,420.619
6,416.847
6,413.684
6,411.120
6,409.134
6,407.699
6,406.781
6,406.351
6,406.375
6,406.826
6,407.678
6,408.908
6,410.499
6,412.433
6,414.699
6,417.284
6,420.177
6,423.370
6,426.855
6,430.626
6,434.676
6,438.998
6,443.583
6,448.418
6,453.488
6,458.768
6,464.232
6,469.845
6,475.568
6,481.361
6,487.181
6,492.991
6,498.760
6,504.467
6,510.106
6,515.686
6,521.226
6,526.755
6,532.305
6,537.904
6,543.571
